Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
"Gewerbesteuernachzahlungen und Gewerbesteuererstattungen für Vorjahre, § 4 Abs. 5b EStG",13 - Steuern vom Einkommen und vom Ertrag,7641,,0,Expense Account,Expense,EUR
Gewerbesteuererstattungen Vorjahre,13 - Steuern vom Einkommen und vom Ertrag,7642,,0,Expense Account,Expense,EUR
"Erträge aus der Auflösung von Gewerbesteuerrückstellungen, § 4 Abs. 5b EStG",13 - Steuern vom Einkommen und vom Ertrag,7643,,0,Expense Account,Expense,EUR
Erträge aus der Auflösung von Gewerbesteuerrückstellungen,13 - Steuern vom Einkommen und vom Ertrag,7644,,0,Expense Account,Expense,EUR
Aufwendungen aus der Zuführung und Auflösung von latenten Steuern,13 - Steuern vom Einkommen und vom Ertrag,7645,,0,Expense Account,Expense,EUR
Erträge aus der Zuführung und Auflösung von latenten Steuern,13 - Steuern vom Einkommen und vom Ertrag,7649,,0,Expense Account,Expense,EUR
15 - sonstige Steuern,,,,1,,Expense,EUR
Verbrauchsteuer,15 - sonstige Steuern,7675,,0,Expense Account,Expense,EUR
Ökosteuer,15 - sonstige Steuern,7678,,0,Expense Account,Expense,EUR
Grundsteuer,15 - sonstige Steuern,7680,,0,Expense Account,Expense,EUR
Kfz-Steuer,15 - sonstige Steuern,7685,,0,Expense Account,Expense,EUR
Steuernachzahlungen Vorjahre für sonstige Steuern,15 - sonstige Steuern,7690,,0,Expense Account,Expense,EUR
Steuererstattungen Vorjahre für sonstige Steuern,15 - sonstige Steuern,7692,,0,Expense Account,Expense,EUR
Erträge aus der Auflösung von Rückstellungen für sonstige Steuern,15 - sonstige Steuern,7694,,0,Expense Account,Expense,EUR
"15b - Auf Grund einer Gewinngemeinschaft, eines Gewinnabführungs- oder Teilgewinnabführungsvertrags abgeführte Gewinne",,,,1,,Expense,EUR
Abgeführte Gewinne auf Grund einer Gewinngemeinschaft,"15b - Auf Grund einer Gewinngemeinschaft, eines Gewinnabführungs- oder Teilgewinnabführungsvertrags abgeführte Gewinne",7392,,0,Expense Account,Expense,EUR
